,bzip2-1.0.1_87db5532.json,bzip2-1.0.2_dd79431f.json,bzip2-1.0.3_f4812cb7.json,bzip2-1.0.4_a83e5e24.json,bzip2-1.0.5_22b3ddc4.json,bzip2-1.0.6_82a08e58.json,bzip2-1.0.7_166326df.json,bzip2-1.0.8_981e34d2.json
bzip2-1.0.1_87db5532.json,1.00,0.94,0.86,0.93,0.92,0.92,0.92,0.92
bzip2-1.0.2_dd79431f.json,,1.00,0.89,0.98,0.97,0.97,0.97,0.97
bzip2-1.0.3_f4812cb7.json,,,1.00,0.88,0.88,0.88,0.88,0.88
bzip2-1.0.4_a83e5e24.json,,,,1.00,0.98,0.98,0.98,0.98
bzip2-1.0.5_22b3ddc4.json,,,,,1.00,1.00,1.00,1.00
bzip2-1.0.6_82a08e58.json,,,,,,1.00,1.00,1.00
bzip2-1.0.7_166326df.json,,,,,,,1.00,1.00
bzip2-1.0.8_981e34d2.json,,,,,,,,1.00

total duration,"0m 22.87s (22,865,513,829 nsec)"
